Measure Names,Month of Date,REGION,Measure Values
Listing Revenue/day,October 2025,,80.454545455
Inspection,November 2025,,66
Avg. Avg Insp TP,November 2025,,"16,91,926.33333333"
workable leads,November 2025,,0
Total_Listing,November 2025,,1
Avg. Avg. Listing TP,November 2025,,
Listing went live,November 2025,,0
Listing Conversion,November 2025,,0
Avg. LP/TP,November 2025,,
Avg. FLP/TP (check from 8th Nov),November 2025,,
Avg. LP/CLP,November 2025,,
Delisted,November 2025,,3
c2b bought,November 2025,,0
Offer Initiated,November 2025,,42
Unique Buyer,November 2025,,42
Offer/Listings,November 2025,,
Counter,November 2025,,0
Accepted,November 2025,,12
% accepted/Offer,November 2025,,0.285714286
Rejected,November 2025,,0
Revision,November 2025,,0
TD completed,November 2025,,0
% TD/Accepted,November 2025,,0
TD/Listing,November 2025,,
Sold,November 2025,,0
Total Revenue,November 2025,,
Listing Revenue,November 2025,,
Vas revenue (chr+chat+spp+agreement),November 2025,,
Avg Lising fee,November 2025,,
Listing Revenue/day,November 2025,,
Inspection,December 2025,,107
Avg. Avg Insp TP,December 2025,,"18,29,132.64485981"
workable leads,December 2025,,0
Total_Listing,December 2025,,2
Avg. Avg. Listing TP,December 2025,,"3,44,368"
Listing went live,December 2025,,2
Listing Conversion,December 2025,,0.018691589
Avg. LP/TP,December 2025,,1.124387378
Avg. FLP/TP (check from 8th Nov),December 2025,,1.198863852
Avg. LP/CLP,December 2025,,
Delisted,December 2025,,1
c2b bought,December 2025,,0
Offer Initiated,December 2025,,60
Unique Buyer,December 2025,,60
Offer/Listings,December 2025,,30
Counter,December 2025,,0
Accepted,December 2025,,18
% accepted/Offer,December 2025,,0.3
Rejected,December 2025,,0
Revision,December 2025,,0
TD completed,December 2025,,0
% TD/Accepted,December 2025,,0
TD/Listing,December 2025,,0
Sold,December 2025,,0
Total Revenue,December 2025,,"2,596"
Listing Revenue,December 2025,,"2,596"
Vas revenue (chr+chat+spp+agreement),December 2025,,
Avg Lising fee,December 2025,,"1,298"
Listing Revenue/day,December 2025,,83.741935484
Inspection,January 2026,,156
Avg. Avg Insp TP,January 2026,,"15,07,385.92948718"
workable leads,January 2026,,0
Total_Listing,January 2026,,0
Avg. Avg. Listing TP,January 2026,,
Listing went live,January 2026,,0
Listing Conversion,January 2026,,0
Avg. LP/TP,January 2026,,
Avg. FLP/TP (check from 8th Nov),January 2026,,
Avg. LP/CLP,January 2026,,
Delisted,January 2026,,2
c2b bought,January 2026,,0
Offer Initiated,January 2026,,27
Unique Buyer,January 2026,,27
Offer/Listings,January 2026,,
Counter,January 2026,,0
Accepted,January 2026,,3
% accepted/Offer,January 2026,,0.111111111
Rejected,January 2026,,0
Revision,January 2026,,0
TD completed,January 2026,,0
% TD/Accepted,January 2026,,0
TD/Listing,January 2026,,
Sold,January 2026,,0
Total Revenue,January 2026,,
Listing Revenue,January 2026,,
Vas revenue (chr+chat+spp+agreement),January 2026,,
Avg Lising fee,January 2026,,
Listing Revenue/day,January 2026,,
Inspection,February 2026,,222
Avg. Avg Insp TP,February 2026,,"10,35,916.45701357"
workable leads,February 2026,,0
Total_Listing,February 2026,,0
Avg. Avg. Listing TP,February 2026,,
Listing went live,February 2026,,0
Listing Conversion,February 2026,,0
Avg. LP/TP,February 2026,,
Avg. FLP/TP (check from 8th Nov),February 2026,,
Avg. LP/CLP,February 2026,,
Delisted,February 2026,,0
c2b bought,February 2026,,0
Offer Initiated,February 2026,,17
Unique Buyer,February 2026,,17
Offer/Listings,February 2026,,
Counter,February 2026,,0
Accepted,February 2026,,2
% accepted/Offer,February 2026,,0.117647059
Rejected,February 2026,,0
Revision,February 2026,,0
TD completed,February 2026,,0
% TD/Accepted,February 2026,,0
TD/Listing,February 2026,,
Sold,February 2026,,0
Total Revenue,February 2026,,
Listing Revenue,February 2026,,
Vas revenue (chr+chat+spp+agreement),February 2026,,
Avg Lising fee,February 2026,,
Listing Revenue/day,February 2026,,
Inspection,March 2026,,39
Avg. Avg Insp TP,March 2026,,"12,52,748.12820513"
workable leads,March 2026,,0
Total_Listing,March 2026,,0
Avg. Avg. Listing TP,March 2026,,
Listing went live,March 2026,,0
Listing Conversion,March 2026,,0
Avg. LP/TP,March 2026,,
Avg. FLP/TP (check from 8th Nov),March 2026,,
Avg. LP/CLP,March 2026,,
Delisted,March 2026,,1
c2b bought,March 2026,,0
Offer Initiated,March 2026,,5
Unique Buyer,March 2026,,5
Offer/Listings,March 2026,,
Counter,March 2026,,0
Accepted,March 2026,,1
% accepted/Offer,March 2026,,0.2
Rejected,March 2026,,0
Revision,March 2026,,0
TD completed,March 2026,,0
% TD/Accepted,March 2026,,0
TD/Listing,March 2026,,
Sold,March 2026,,0
Total Revenue,March 2026,,
Listing Revenue,March 2026,,
Vas revenue (chr+chat+spp+agreement),March 2026,,
Avg Lising fee,March 2026,,
Listing Revenue/day,March 2026,,
Inspection,All,,847
Avg. Avg Insp TP,All,,"14,17,932.02245863"
workable leads,All,,0
Total_Listing,All,,7
Avg. Avg. Listing TP,All,,"5,32,607.6"
Listing went live,All,,4
Listing Conversion,All,,0.004722550
Avg. LP/TP,All,,1.063248589
Avg. FLP/TP (check from 8th Nov),All,,1.099705845
Avg. LP/CLP,All,,
Delisted,All,,8
c2b bought,All,,0
Offer Initiated,All,,153
Unique Buyer,All,,153
Offer/Listings,All,,38.25
Counter,All,,1
Accepted,All,,37
% accepted/Offer,All,,0.241830065
Rejected,All,,0
Revision,All,,0
TD completed,All,,0
% TD/Accepted,All,,0
TD/Listing,All,,0
Sold,All,,0
Total Revenue,All,,"8,238"
Listing Revenue,All,,"7,788"
Vas revenue (chr+chat+spp+agreement),All,,450
Avg Lising fee,All,,"1,112.571428571"
Listing Revenue/day,All,,40.5625
Inspection,August 2025,BLR,"7,722"
Avg. Avg Insp TP,August 2025,BLR,"5,57,351.10782789"
workable leads,August 2025,BLR,"6,311"
Total_Listing,August 2025,BLR,959
Avg. Avg. Listing TP,August 2025,BLR,"5,66,463.091004184"
Listing went live,August 2025,BLR,939
Listing Conversion,August 2025,BLR,0.121600622
Avg. LP/TP,August 2025,BLR,1.179156049
Avg. FLP/TP (check from 8th Nov),August 2025,BLR,1.195165145
